OBJECTID_12,OBJECTID,ObjectID_1,Water_leve,Grid_ref_,Owned_by,Operated_b,Watercours,Descriptio,X,Y,Lat,Long_,Source,Enabled,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,Dimensions,FID_1,Structure,structure_,Count_,AncillaryR,AncillaryRole,SnapDist,ForcedMove,SnapQual,SrchName
82,82,30,Butter Ditch Cut-Off, ,UB IDB,UB IDB,Butter Ditch,Flap valve,347550,142620,51.180394,-2.7517514,North Drain,1,318,5.869523746,347550.1219,142625.8683,Flap valve operated by local farmers to control flow of water.,,,Flap valve,,,,0,N,"Nearest Polyline, no name check",n/a
83,83,31,Butter Ditch Inlet, ,UB IDB,UB IDB,Butter Ditch feed from Sheppy,Flap valve & penstock,347460,142740,51.181464,-2.7530565,North Drain,1,318,4.495932822,347464.4939,142740.1365,Flap valve manually raised on chain to admit water from River Sheppy. Penstock closed manually to retain water in Butter Ditch; Operated by local farmers.,,,Flap valve,,,,0,N,"Nearest Polyline, no name check",n/a
84,84,32,Daggs Lane Drove Outfall, ,UB IDB,UB IDB,Daggs Lane Drove Rhyne,Penning hatch,345900,144820,51.20002,-2.7756868,North Drain,1,325,5.268864033,345905.2524,144819.5838,Not in use.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
85,85,33,Godney Crossroads, ,UB IDB,UB IDB,"Tripps Drove Rhyne, Godney Middle Rhyne",Penning hatch,347420,143480,51.188114,-2.7537372,North Drain,1,332,6.495190407,347420.2571,143473.5099,Hinged grate doubles as operating platform.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
86,86,34,Godney Middle Rhyne Hatch, ,UB IDB,UB IDB,Godney Middle Rhyne,Penning hatch,348020,143150,51.185202,-2.7451049,North Drain,1,332,5.300216578,348019.5975,143155.2849, ,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
87,87,35,Great Withy Rhyne Inlet, ,UB IDB,UB IDB,Great Withy Rhyne Millstream,Flap valve,349080,139760,51.154817,-2.7294586,North Drain,1,1090,0.733125598,349079.947,139760.7312,Cast iron flap valve on masonry headwall operated,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
88,88,36,Hurn Drove Inlet, ,UB IDB,UB IDB,Hurn Drove Rhyne,Flap valve,349330,143800,51.191164,-2.7264551,North Drain,1,338,4.610399013,349330.7975,143795.4591,Submerged chain-operated flap valve on end of culvert feeding water from River Sheppy into Hurn Rhyne via culvert under gateway. Operated by local farmer.,,,Valve (Inlet),,,,-1,N,Site outside snap distance,n/a
89,89,37,Hurn Drove Straight Drove Inlet, ,UB IDB,UB IDB,Hurn Drove Straight Drove, ,349090,143130,51.185119,-2.7297939,North Drain,1,338,11.98444356,349101.8514,143131.7805, ,,,Unknown,,,,-1,N,Site outside snap distance,n/a
90,90,38,Leaze Rhyne Inlet, ,UB IDB,UB IDB,Leaze Rhyne,Flap valve,349300,144150,51.194308,-2.7269339,North Drain,1,990,8.888344921,349308.8156,144151.135,Submerged chain-operated flap valve on end of culvert feeding water from River Sheppy into Leaze Rhyne via culvert under highway. Operating platform on bank of River Sheppy.,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
91,91,39,Lewis Drove Rhyne Inlets, ,UB IDB,UB IDB,Westhay Moor Drove Rhyne,Flap valve / disk valve,346510,143730,51.190277,-2.7667943,North Drain,1,416,2.779941172,346510.6453,143732.704,Double control valves.,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
92,92,40,London Drove Outfall, ,UB IDB,UB IDB,London Drove Rhyne,Penning hatch,345280,144710,51.198972,-2.7845429,North Drain,1,352,4.087346546,345276.0951,144711.2077,Not in use.,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
93,93,41,Moggs Rhyne Crannel Inlet, ,UB IDB,UB IDB,Moggs Rhyne Crannel River Sheppy,Disk valve,349150,142790,51.182067,-2.7288873,North Drain,1,990,9.788585771,349148.6173,142799.6904, ,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
94,94,42,Moggs Rhyne Godney Outfall, ,UB IDB,UB IDB,Moggs Rhyne Godney Division Rhyne,Culverted outfall,348220,142090,51.175689,-2.7420904,North Drain,1,1069,2.662270119,348220.5902,142087.404,Headwall on culvert outfall.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
95,95,43,Oak Drove Outfall, ,UB IDB,UB IDB,Oak Drove Rhyne,Penning hatch,346340,144770,51.199612,-2.7693824,North Drain,1,374,4.944753278,346344.7444,144768.6067,Operated by local horticultural site for water supply,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
96,96,44,Parsons Drove Outfall, ,UB IDB,UB IDB,Parsons Drove Rhyne,Penning hatch,344700,144650,51.198376,-2.7928338,North Drain,1,375,1.428767151,344701.0551,144650.9634,Not in use.,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
97,97,45,Peacock Farm Penning Boards, ,UB IDB,UB IDB,Galtons Canal,Penning hatch,344450,143140,51.184775,-2.7961774,North Drain,1,74,7.221189258,344457.1191,143138.7898,Not in use.,,,Valve (Inlet),,,,0,N,"Nearest Polyline, no name check",n/a
98,98,46,Pits Rhyne Outfall, ,UB IDB,UB IDB,Pits Rhyne,Tilting weir,346380,142030,51.17498,-2.7684001,North Drain,1,139,5.173352718,346384.8431,142031.8188,Penning boards on upstream end of culvert lifted manually by climbing down watercourse bank. Downstream flap valve chain-operated by ground-mounted lever.,,,Tilting Weir,,,,0,N,"Nearest Polyline, no name check",n/a
99,99,47,SWT Site Feed Hatch, ,UB IDB,UB IDB,Westhay Moor Drove Rhyne,Feed hatch,344640,143150,51.184884,-2.7934607,North Drain,1,416,1.677697177,344640.2861,143148.3469, ,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
100,100,48,Waste Rhyne Outfall, ,UB IDB,UB IDB,Waste Rhyne Division Rhyne,Penning boards,347980,142010,51.174948,-2.7455117,North Drain,1,410,12.06337455,347990.8535,142015.2656,Penning boards installed by IDB after RWLA scheme implemented on end of 600mm corrugated steel access culvert (gateway).,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
